payment_id,order_id,payment_method,payment_status,amount,paid_at
42,42,card,success,6100.65,2026-07-21 09:33:10.901696
43,43,bank_transfer,failed,9150.26,2026-05-07 06:30:18.823839
44,44,card,success,8142.89,2026-02-12 03:20:51.735887
45,45,bank_transfer,failed,4123.02,2026-07-07 20:19:22.676419
46,46,bank_transfer,success,5555.55,2026-01-24 03:39:11.489809
47,47,bank_transfer,refunded,531.36,
48,48,cash,failed,1866.52,
49,49,bank_transfer,success,8679.17,
50,50,paypal,refunded,296.22,
51,51,card,refunded,1143.75,2026-03-07 07:51:12.869179
52,52,bank_transfer,failed,2690.98,2026-04-16 17:20:19.905196
53,53,cash,success,2572.17,2026-07-16 19:02:49.681288
54,54,card,refunded,12664.57,
55,55,cash,success,2084.72,2026-07-22 06:42:05.223124
56,56,paypal,failed,5884.11,
57,57,bank_transfer,success,9307.33,2026-08-03 00:27:33.501734
58,58,cash,refunded,3388.66,2026-03-31 20:14:29.013463
59,59,paypal,success,19201.38,2025-10-13 08:20:40.308157
60,60,paypal,success,10148.67,2025-12-30 02:00:42.102906
61,61,bank_transfer,success,775.95,2026-05-13 00:57:40.504576
62,62,paypal,refunded,5147.54,2026-07-11 19:03:42.819038
63,63,card,success,7341.43,2026-04-28 23:19:39.478345
64,64,card,refunded,10922.88,2026-05-21 05:48:02.104519
65,65,card,refunded,10301.6,2026-06-14 15:26:17.991641
66,66,bank_transfer,refunded,2533.92,2026-05-24 20:08:07.440672
67,67,bank_transfer,failed,9166.83,
68,68,card,failed,5445.3,2026-07-08 20:05:51.395433
69,69,paypal,failed,5009.08,
70,70,bank_transfer,success,8866.55,2026-07-27 01:18:02.252733
71,71,bank_transfer,refunded,4813.2,2026-05-25 06:05:50.592425
72,72,cash,refunded,1208.41,
73,73,bank_transfer,failed,531.36,
74,74,card,refunded,5755.37,2026-01-28 03:29:12.988087
75,75,paypal,failed,4365.51,2026-07-14 02:43:08.439046
76,76,card,failed,6951.06,2026-07-28 01:58:32.825761
77,77,card,refunded,4336.68,2026-07-07 18:03:25.370799
78,78,bank_transfer,refunded,5017.36,2026-08-02 02:17:52.921329
79,79,bank_transfer,success,3227.6,2025-10-11 19:15:28.438217
80,80,paypal,success,5309.67,2026-05-28 17:26:59.222734
81,81,paypal,failed,3106.37,2026-05-06 10:11:14.202208
82,82,card,failed,8548.01,2026-03-13 07:39:18.310309
83,83,card,failed,1850.08,2026-07-30 13:28:12.106966
84,84,bank_transfer,failed,4117.47,2026-03-17 08:32:45.447604
85,85,bank_transfer,success,4636.76,2026-05-09 13:42:28.967741
86,86,cash,success,11206.12,2026-07-05 18:16:31.650999
87,87,bank_transfer,success,3472.2,2026-03-03 06:09:28.789681
88,88,paypal,success,6505.88,2025-10-29 22:24:26.490639
89,89,paypal,failed,15914.86,2026-04-27 05:54:12.132511
90,90,cash,success,5917.7,2026-02-28 17:26:03.212481
91,91,bank_transfer,success,10378.63,2026-07-16 14:22:54.054363
92,92,bank_transfer,refunded,3846.35,
93,93,cash,refunded,3002.36,2026-06-05 09:13:43.147891
94,94,card,success,8228.5,2026-07-05 05:40:08.412126
95,95,bank_transfer,success,5299.6,2026-07-24 20:08:16.922107
96,96,bank_transfer,failed,9896.04,2026-07-29 08:22:44.597938
97,97,paypal,success,3713.86,
98,98,cash,failed,10375.53,
99,99,card,success,4332.74,2026-05-16 13:40:44.169724
100,100,bank_transfer,refunded,15070.68,
101,101,card,failed,6804.31,2026-06-29 15:15:41.412771
102,102,card,refunded,5473.61,2026-05-28 21:18:09.641647
103,103,card,failed,6736.05,
104,104,paypal,success,9822.33,2026-08-05 14:49:20.880059
105,105,cash,success,5393.93,2026-07-28 20:41:16.526338
106,106,paypal,success,2209.05,
107,107,card,failed,1408.92,
108,108,paypal,success,19166.42,
109,109,card,success,10424.95,2026-06-15 07:15:09.706293
110,110,cash,failed,3529.2,2026-03-24 16:46:02.888569
111,111,bank_transfer,refunded,6707.35,2026-05-31 15:05:48.711148
112,112,bank_transfer,refunded,6249.28,
113,113,cash,refunded,2963.22,2025-11-24 03:29:39.864333
114,114,cash,refunded,5545.65,2026-07-29 06:45:29.189533
115,115,bank_transfer,success,4911.44,2026-07-23 05:49:32.737517
116,116,paypal,success,8448.02,2026-07-07 23:51:48.189884
117,117,cash,success,4092.49,2026-04-19 03:17:57.280560
118,118,card,failed,4461.59,2026-04-15 18:38:11.720007
119,119,cash,refunded,12909.61,2026-03-07 06:40:03.628184
120,120,bank_transfer,refunded,14825.52,2026-02-28 03:38:03.183144
121,121,paypal,refunded,4809.78,2026-06-11 20:41:56.277071
122,122,bank_transfer,failed,3737.22,2026-07-02 18:55:02.328959
123,123,bank_transfer,refunded,6802.14,2026-03-13 17:01:32.011443
124,124,cash,refunded,9275.93,2026-07-11 17:58:08.793447
125,125,paypal,success,10446.89,2026-04-18 17:11:04.711678
126,126,card,refunded,428.28,2026-06-25 06:59:54.797465
127,127,card,success,7474.39,
128,128,bank_transfer,success,2780.59,2026-07-25 11:25:22.616477
129,129,card,success,13791.23,2026-05-05 04:20:09.480630
130,130,paypal,failed,3834.16,2026-08-05 07:55:57.784544
131,131,card,refunded,3140.33,2026-04-10 11:35:48.862016
132,132,bank_transfer,success,3913.99,2026-06-20 06:55:44.308214
133,133,card,failed,2639.2,2026-01-08 04:36:36.234859
134,134,card,failed,11650.0,2026-05-29 04:44:10.495644
135,135,cash,failed,13657.37,2026-05-11 13:58:42.230430
136,136,bank_transfer,failed,3741.46,2026-06-16 03:18:35.422325
137,137,paypal,failed,3700.16,2026-07-31 06:23:16.541744
138,138,card,success,2260.53,2026-03-12 06:12:05.646080
139,139,paypal,success,10085.11,2026-01-07 22:08:20.278237
140,140,bank_transfer,failed,2093.14,2026-01-12 10:36:27.748861
141,141,card,refunded,10081.98,2026-07-09 19:49:56.198191
142,142,bank_transfer,success,8376.84,2026-04-15 11:01:07.975979
143,143,paypal,success,6473.58,
144,144,bank_transfer,success,8782.2,2026-04-21 00:11:50.147917
145,145,bank_transfer,refunded,6164.76,2026-05-14 21:44:43.434077
146,146,card,failed,1738.23,2026-04-22 07:06:03.187373
147,147,bank_transfer,failed,2128.06,2025-11-25 21:47:08.264825
148,148,paypal,refunded,4857.08,2026-07-31 15:55:43.268485
149,149,card,refunded,2463.42,2026-01-14 20:45:58.658240
150,150,cash,success,8860.88,2026-06-16 04:23:26.900995
151,151,paypal,success,3107.73,2026-08-05 02:37:50.023115
152,152,cash,success,10752.7,2026-06-10 08:57:41.103822
153,153,paypal,refunded,3739.7,2026-07-31 22:30:05.266749
154,154,cash,refunded,2237.9,2026-03-16 21:02:27.137388
155,155,bank_transfer,failed,12155.7,2026-01-13 18:28:32.496184
156,156,cash,failed,3614.9,2026-05-21 17:35:15.737736
157,157,paypal,refunded,7388.36,2026-07-29 05:58:14.769361
158,158,bank_transfer,refunded,1490.41,2026-07-14 14:56:26.401564
159,159,cash,refunded,4741.22,2026-07-30 11:12:13.997821
160,160,bank_transfer,failed,2018.0,2026-05-01 11:41:15.572588
161,161,cash,refunded,8790.57,2026-04-28 18:59:12.853475
162,162,bank_transfer,refunded,4730.72,2026-06-08 22:35:37.931156
163,163,bank_transfer,refunded,6370.69,2026-05-28 07:11:36.637230
164,164,bank_transfer,refunded,5673.96,2026-03-23 06:49:21.554451
165,165,bank_transfer,refunded,8281.85,2026-03-26 23:56:32.320141
166,166,paypal,failed,12013.22,2025-09-19 06:49:19.448901
167,167,card,refunded,518.34,2026-07-22 03:26:05.052837
168,168,bank_transfer,refunded,1836.18,2026-07-20 19:06:39.948703
169,169,cash,success,14400.83,2026-06-08 03:47:41.715905
170,170,cash,failed,5548.44,2026-04-07 06:51:24.701601
171,171,cash,success,7122.85,2025-12-21 10:31:58.140316
172,172,bank_transfer,failed,898.88,2026-07-22 20:05:41.380656
173,173,bank_transfer,refunded,1320.76,
174,174,cash,failed,1310.38,2026-07-29 19:12:40.976807
175,175,card,success,11168.96,2026-02-04 08:31:09.855765
176,176,bank_transfer,success,1128.62,2026-08-01 19:39:38.864977
177,177,bank_transfer,failed,1068.84,2026-08-02 14:22:27.253889
178,178,paypal,failed,2467.46,2026-07-18 19:48:36.896235
179,179,cash,refunded,8604.88,
180,180,cash,success,6674.3,2026-05-31 21:50:47.904252
181,181,paypal,failed,376.51,2026-05-12 10:51:55.005388
182,182,paypal,success,3157.53,2026-04-22 05:27:50.022128
183,183,bank_transfer,success,2085.76,2026-04-09 06:48:39.494394
184,184,card,failed,11275.36,2026-07-06 21:14:45.051604
185,185,bank_transfer,refunded,14929.43,2026-05-07 11:27:55.499840
186,186,paypal,refunded,461.67,2026-02-04 08:51:34.494688
187,187,cash,refunded,6786.4,2026-05-20 02:14:31.781522
188,188,paypal,success,6151.34,2026-03-11 11:15:31.916710
189,189,card,refunded,8437.15,2026-03-12 10:03:40.679081
190,190,paypal,failed,7569.78,2025-11-19 03:15:41.808883
191,191,card,refunded,726.32,2025-11-20 12:07:18.139073
192,192,card,failed,5278.68,2026-05-07 00:22:44.118688
193,193,bank_transfer,refunded,5031.48,2026-06-16 01:54:46.671721
194,194,paypal,failed,10221.76,2026-07-29 22:24:10.973754
195,195,bank_transfer,failed,2037.42,2026-06-12 10:00:09.620895
196,196,bank_transfer,success,182.84,2026-07-04 13:37:28.305322
197,197,cash,refunded,4505.72,2026-02-08 14:34:06.177020
198,198,card,success,311.73,
199,199,paypal,failed,7271.28,2026-05-11 18:36:57.312936
200,200,paypal,refunded,4770.0,2026-01-03 10:10:07.076508
201,201,card,failed,7751.57,2026-05-31 14:17:17.401809
202,202,paypal,refunded,14789.23,
203,203,bank_transfer,failed,13013.17,2026-06-14 04:41:49.713993
204,204,bank_transfer,success,6319.87,2026-05-25 06:50:29.568320
205,205,paypal,refunded,2836.98,
206,206,bank_transfer,success,5651.77,
207,207,card,failed,1262.32,2026-07-14 16:39:12.478786
208,208,cash,success,9778.51,2026-03-14 23:19:09.142968
209,209,paypal,success,2304.12,
210,210,cash,failed,11485.78,
211,211,paypal,refunded,4238.0,2026-07-19 08:47:38.270480
212,212,paypal,failed,7397.87,2026-03-29 14:19:54.157199
213,213,cash,success,6336.81,
214,214,bank_transfer,failed,8634.88,
215,215,bank_transfer,success,1760.69,2026-07-25 14:07:52.408365
216,216,card,success,4226.76,2026-02-28 08:58:12.984888
217,217,card,failed,16165.0,2026-05-21 12:09:45.806857
218,218,paypal,success,6011.17,
219,219,paypal,success,5112.22,2025-12-10 20:50:44.295568
220,220,cash,failed,2441.15,2026-07-19 23:15:05.382138
221,221,paypal,refunded,5466.96,
222,222,bank_transfer,failed,4477.44,2026-07-12 17:21:28.380177
223,223,paypal,failed,9254.3,2026-04-30 22:15:19.739686
224,224,paypal,refunded,8443.22,2026-06-06 20:15:55.393624
225,225,bank_transfer,failed,11521.0,
226,226,bank_transfer,refunded,3868.18,2025-11-05 10:50:41.321379
227,227,card,failed,1506.04,2026-07-15 07:41:26.543289
228,228,card,failed,948.39,
229,229,card,success,762.38,2026-06-12 03:42:51.380093
230,230,paypal,success,1563.96,2026-01-27 03:01:40.469704
231,231,card,failed,2492.46,2026-07-15 17:12:58.591592
232,232,bank_transfer,success,9948.62,2026-01-25 05:33:09.343802
233,233,card,success,4783.41,
234,234,cash,refunded,9891.63,2026-05-11 00:26:36.858774
235,235,cash,success,1911.72,2026-07-03 23:10:26.448417
236,236,card,refunded,845.16,
237,237,cash,success,8416.65,2026-07-14 03:08:48.857723
238,238,cash,success,3353.96,2026-03-03 17:54:09.757123
239,239,card,failed,2548.96,2025-12-24 13:31:27.050098
240,240,cash,failed,484.47,2026-08-03 03:34:34.702411
241,241,card,success,1474.16,2026-04-17 01:09:24.874958
242,242,card,refunded,4928.72,
243,243,paypal,success,11712.16,
244,244,paypal,refunded,9703.78,2026-03-25 06:39:01.640995
245,245,cash,failed,4484.36,2026-05-01 17:21:06.728617
246,246,paypal,refunded,3679.11,2026-07-25 17:32:34.662824
247,247,bank_transfer,failed,5162.94,2026-07-20 00:42:36.380039
248,248,card,refunded,4592.2,
249,249,cash,refunded,11539.14,
250,250,bank_transfer,refunded,2098.32,2026-05-06 17:30:57.553882
251,251,card,failed,4762.97,2026-02-16 12:50:31.555622
252,252,cash,failed,2250.42,2026-04-04 08:07:03.273815
253,253,card,refunded,844.64,2025-10-05 00:41:42.829273
254,254,cash,failed,15192.12,2026-03-21 13:42:28.264633
255,255,paypal,failed,1872.0,2026-07-24 10:39:49.379958
256,256,bank_transfer,refunded,6399.54,
257,257,cash,refunded,486.72,2026-07-25 09:56:43.026859
258,258,card,failed,6949.11,2026-07-19 05:05:37.110879
259,259,bank_transfer,failed,12083.81,2026-06-13 11:30:35.270644
260,260,cash,success,2428.09,2026-05-20 16:25:46.487768
261,261,bank_transfer,failed,4345.24,2026-07-02 23:18:34.584955
262,262,bank_transfer,success,3472.2,2026-08-05 12:48:13.989889
263,263,card,success,9075.01,
264,264,bank_transfer,refunded,7408.21,2026-06-21 15:27:39.458276
265,265,paypal,success,4954.56,2026-03-23 23:54:40.468671
266,266,paypal,refunded,11143.06,
267,267,cash,refunded,11426.32,2026-06-10 11:34:21.101229
268,268,card,refunded,8365.98,2026-01-30 19:35:28.732560
269,269,paypal,success,8464.55,2026-07-04 03:45:49.145300
270,270,bank_transfer,success,6014.39,2026-04-24 01:17:23.848740
271,271,card,refunded,10415.08,
272,272,cash,failed,10223.01,2026-06-22 12:47:52.300053
273,273,cash,failed,6441.38,2026-03-13 03:22:05.900797
274,274,paypal,failed,5931.9,2026-05-18 13:30:21.777260
275,275,bank_transfer,success,3931.97,2026-05-24 07:40:23.153287
276,276,card,refunded,753.02,2026-02-24 23:24:09.079043
277,277,paypal,failed,1066.16,2026-03-01 12:17:14.556157
278,278,bank_transfer,failed,5955.13,2026-06-04 19:44:18.601436
279,279,card,failed,3701.98,2026-01-31 07:15:56.034388
280,280,paypal,success,2477.28,2026-05-30 10:32:13.055314
281,281,card,refunded,4853.36,2026-07-30 21:14:17.282621
282,282,bank_transfer,refunded,6474.64,2026-05-03 04:27:12.092848
283,283,cash,refunded,10921.5,2026-07-06 15:00:27.750813
284,284,paypal,failed,1104.78,
285,285,bank_transfer,refunded,13909.32,2026-05-31 23:17:40.163998
286,286,bank_transfer,refunded,1518.94,2026-01-05 09:41:17.008097
287,287,cash,failed,1068.84,2026-07-31 19:46:19.959655
288,288,card,refunded,3494.41,2026-01-31 15:04:20.537939
289,289,bank_transfer,failed,5482.83,2026-07-23 16:08:50.933743
290,290,paypal,refunded,5403.47,2026-01-14 07:50:04.626447
291,291,paypal,success,54.45,2026-07-31 10:26:30.465580
292,292,bank_transfer,success,11074.78,2025-12-06 10:24:50.021003
293,293,bank_transfer,success,7183.85,2026-04-23 20:03:49.332795
294,294,cash,success,9244.45,2026-01-07 10:55:36.622499
295,295,paypal,refunded,569.78,2026-03-31 12:27:18.587683
296,296,card,refunded,1186.43,2026-05-21 01:44:41.725000
297,297,bank_transfer,refunded,3701.2,
298,298,paypal,success,3834.49,
299,299,cash,failed,2351.15,2026-06-22 09:19:09.076492
300,300,bank_transfer,refunded,3565.8,2026-03-09 09:03:52.573578
301,301,card,success,8631.13,
302,302,bank_transfer,refunded,3220.6,
303,303,cash,refunded,3111.69,2026-03-06 21:16:44.823132
304,304,cash,success,10246.84,2026-06-14 06:30:19.736781
305,305,paypal,success,6030.98,
306,306,bank_transfer,failed,3722.13,
307,307,bank_transfer,success,2992.62,2026-07-11 03:16:39.788906
308,308,card,failed,5966.38,2026-07-26 09:55:01.795559
309,309,bank_transfer,refunded,5051.77,2026-07-05 08:36:56.004714
310,310,card,refunded,17444.66,2026-04-19 06:50:24.657041
311,311,bank_transfer,refunded,5126.49,2025-12-12 21:42:10.207373
312,312,card,refunded,5592.39,
313,313,cash,success,390.81,2026-02-14 21:47:57.672188
314,314,card,failed,1129.53,2026-03-05 13:16:57.617505
315,315,bank_transfer,failed,3564.99,2026-07-21 06:42:10.613828
316,316,cash,refunded,5727.35,2026-06-05 21:38:23.163349
317,317,card,failed,3356.85,2026-07-12 13:37:39.710044
318,318,card,refunded,4226.76,
319,319,bank_transfer,failed,6174.19,
320,320,paypal,failed,12192.12,2026-08-05 12:50:09.956560
321,321,bank_transfer,failed,5447.76,
322,322,cash,failed,2821.2,2026-07-01 17:14:10.032769
323,323,paypal,failed,7802.8,
324,324,paypal,refunded,7044.07,
325,325,cash,failed,6892.16,2026-02-25 01:57:48.680749
326,326,card,failed,5974.69,2026-05-02 14:02:50.077553
327,327,paypal,success,10169.92,2026-04-20 23:07:25.127702
328,328,paypal,refunded,12231.64,
329,329,card,failed,9161.67,
330,330,bank_transfer,failed,7980.75,
331,331,paypal,refunded,5882.65,2026-04-18 15:43:23.356424
332,332,paypal,success,3595.52,2026-06-18 19:38:48.522257
333,333,bank_transfer,failed,2939.57,2026-04-28 08:29:53.242739
334,334,bank_transfer,success,3762.27,2026-04-27 15:27:30.722957
335,335,cash,refunded,2775.12,2026-07-26 07:04:24.438445
336,336,cash,failed,1338.6,2026-01-30 10:22:59.297128
337,337,cash,success,3356.85,2026-03-14 06:34:55.684966
338,338,cash,success,4325.7,2026-08-02 19:45:33.414149
339,339,card,success,8321.01,2025-11-29 05:52:50.507606
340,340,bank_transfer,success,2098.32,2026-03-22 20:17:24.064501
341,341,bank_transfer,failed,3447.17,
342,342,cash,failed,9183.2,2026-06-15 16:45:27.066004
343,343,cash,success,5020.05,2026-07-07 00:44:39.078364
344,344,cash,refunded,6851.24,2026-04-09 17:41:30.647231
345,345,cash,success,6376.56,
346,346,paypal,refunded,3234.11,2026-06-08 04:35:45.456239
347,347,bank_transfer,failed,3684.34,
348,348,card,failed,2414.8,2025-11-01 10:35:06.079859
349,349,card,refunded,2347.02,2026-01-27 10:52:35.931163
350,350,paypal,refunded,3278.07,2026-03-27 11:51:34.662141
351,351,cash,refunded,5075.52,2026-01-21 19:19:12.005252
352,352,card,success,3725.42,2026-03-29 02:21:26.003551
353,353,card,refunded,5181.92,2026-08-05 20:27:21.827311
354,354,card,refunded,10431.54,2026-03-25 22:27:04.804958
355,355,card,failed,8414.68,2026-07-02 08:08:07.656195
356,356,paypal,success,10136.66,2026-05-27 10:34:04.406028
357,357,bank_transfer,refunded,6334.82,2026-03-24 10:27:40.762610
358,358,card,failed,72.6,2026-05-10 16:12:37.653690
359,359,paypal,success,9632.09,
360,360,bank_transfer,success,6139.31,2026-04-18 03:24:41.473484
361,361,paypal,failed,3248.02,2026-06-23 00:17:42.415618
362,362,card,failed,14308.96,2026-01-07 14:35:14.533927
363,363,cash,success,8534.82,
364,364,paypal,failed,7469.07,2026-01-26 19:19:34.528845
365,365,card,refunded,3385.86,2026-01-22 07:30:22.103420
366,366,card,failed,3643.28,2026-07-20 15:19:48.758483
367,367,bank_transfer,refunded,11619.65,
368,368,card,failed,2372.86,2026-03-15 12:10:08.649919
369,369,paypal,refunded,7920.24,2026-04-01 11:15:18.610819
370,370,bank_transfer,failed,12496.58,2026-05-24 06:24:01.502375
371,371,paypal,success,1896.97,2026-06-21 00:47:03.121592
372,372,card,failed,6888.07,2026-08-05 05:17:55.012920
373,373,card,success,5008.16,2025-09-29 04:02:05.128522
374,374,cash,failed,1981.14,2026-05-11 01:39:46.082096
375,375,bank_transfer,success,13284.86,2026-07-29 10:09:03.799883
376,376,card,success,3015.22,2026-02-08 14:54:58.854817
377,377,card,success,1123.78,2026-08-01 03:55:51.857132
378,378,card,success,2237.9,2026-05-05 12:07:53.017545
379,379,card,refunded,1449.06,2026-05-17 20:53:22.242097
380,380,bank_transfer,success,5889.82,2026-03-31 13:19:56.283385
381,381,paypal,failed,6695.8,2026-04-25 11:45:27.098407
382,382,cash,success,2500.12,2026-07-04 04:10:34.378964
383,383,paypal,refunded,6345.29,2026-02-09 10:59:22.448818
384,384,bank_transfer,success,3953.13,
385,385,cash,success,3164.2,2026-07-08 17:00:14.201323
386,386,cash,success,6506.1,2026-01-11 03:49:29.481202
387,387,bank_transfer,failed,4955.5,2026-01-12 01:02:41.884566
388,388,card,success,8143.35,2026-07-16 06:35:54.146944
389,389,card,success,8627.23,2025-12-09 15:57:08.151004
390,390,paypal,success,7324.99,2026-07-06 10:59:28.886575
391,391,bank_transfer,refunded,3715.92,2026-07-07 10:01:56.892507
392,392,paypal,refunded,9222.52,2026-06-14 19:08:05.723096
393,393,paypal,refunded,973.44,2026-04-16 18:52:41.316548
394,394,paypal,success,5000.24,2026-08-03 07:21:39.063171
395,395,card,refunded,2399.2,2026-07-05 11:29:58.223916
396,396,bank_transfer,failed,2826.59,2026-04-07 09:08:05.675081
397,397,paypal,refunded,12046.35,
398,398,bank_transfer,success,2172.71,2025-11-17 18:50:18.585526
399,399,card,refunded,2535.48,
400,400,paypal,refunded,11281.72,2026-06-17 14:02:42.997097
401,401,cash,failed,4388.18,2025-11-25 20:41:18.416205
402,402,cash,failed,737.08,2026-01-25 12:43:13.941727
403,403,paypal,success,739.1,2026-04-24 22:48:53.259487
404,404,card,success,7464.6,2026-01-19 09:45:43.273343
405,405,cash,success,3381.04,
406,406,paypal,success,650.35,2026-07-15 14:41:42.638113
407,407,card,failed,5243.8,2026-07-27 16:59:02.310597
408,408,cash,failed,9535.52,2026-05-11 08:32:55.681747
409,409,bank_transfer,failed,15285.47,2026-06-29 03:06:12.638086
410,410,bank_transfer,failed,1067.04,2026-06-22 11:12:57.784605
411,411,bank_transfer,success,5134.47,2026-06-22 14:11:06.592052
412,412,cash,failed,3855.13,
413,413,cash,failed,5164.7,2026-07-21 16:54:28.756661
414,414,bank_transfer,failed,5963.61,2026-07-26 03:24:39.422496
415,415,bank_transfer,failed,1612.26,
416,416,cash,failed,1944.02,2026-07-20 14:21:38.134575
417,417,cash,success,7283.23,
418,418,paypal,failed,9563.72,2025-12-03 04:06:48.185639
419,419,card,failed,3477.57,2026-06-27 15:35:34.070001
420,420,bank_transfer,failed,1167.69,2026-06-11 07:50:10.600478
421,421,card,failed,831.96,2026-07-04 12:49:08.283817
422,422,paypal,failed,9230.28,2026-04-11 22:21:15.140483
423,423,bank_transfer,failed,4762.44,2026-06-20 19:14:25.784356
424,424,card,refunded,4702.41,2026-07-07 16:48:29.002309
425,425,cash,refunded,7512.73,2026-02-14 14:09:50.033252
426,426,paypal,success,4506.26,2026-06-25 11:59:34.045712
427,427,card,success,7741.96,
428,428,bank_transfer,success,7021.08,2026-04-17 20:07:24.966589
429,429,card,success,4934.98,2026-02-09 20:01:27.455256
430,430,paypal,refunded,13148.0,2026-05-24 15:19:38.672754
431,431,paypal,failed,520.58,2026-04-25 20:10:07.399665
432,432,bank_transfer,success,12212.65,2026-04-18 00:31:54.981662
433,433,bank_transfer,success,8496.06,
434,434,bank_transfer,success,11895.52,2025-11-04 04:05:09.666928
435,435,bank_transfer,success,2409.04,
436,436,card,refunded,2813.56,2026-05-28 04:13:37.799536
437,437,card,failed,3414.02,2025-12-10 15:00:54.247576
438,438,card,refunded,9039.27,2026-06-29 10:57:02.584908
439,439,cash,refunded,2911.93,2025-11-10 17:26:13.031018
440,440,cash,refunded,5853.5,
441,441,bank_transfer,failed,1733.5,2026-07-31 23:41:14.662405
442,442,paypal,success,4563.49,
443,443,paypal,failed,13462.18,2026-03-16 18:15:35.099586
444,444,bank_transfer,refunded,7301.85,2026-02-24 04:39:09.345717
445,445,paypal,failed,5911.07,2026-03-13 13:08:05.408389
446,446,paypal,failed,1594.08,
447,447,card,success,5701.32,2026-05-08 14:06:59.053553
448,448,bank_transfer,success,10370.97,
449,449,paypal,failed,5923.56,2026-07-23 19:04:32.097034
450,450,cash,success,699.44,
451,451,paypal,success,8229.97,2026-02-28 01:35:42.939378
452,452,cash,failed,11313.83,2026-06-24 16:00:26.720788
453,453,cash,success,9758.0,2026-06-22 18:17:04.813350
454,454,paypal,failed,10938.11,2026-05-03 20:25:06.839476
455,455,bank_transfer,refunded,1072.0,
456,456,paypal,failed,837.35,2026-07-13 10:05:02.734688
457,457,bank_transfer,success,5421.21,
458,458,bank_transfer,failed,5552.34,
459,459,bank_transfer,failed,5940.67,
460,460,bank_transfer,success,5029.59,2025-12-31 19:14:49.132800
461,461,cash,refunded,14574.09,2026-07-29 07:51:00.182121
462,462,bank_transfer,refunded,4317.36,2026-03-31 13:47:02.684971
463,463,paypal,failed,7336.0,2025-12-18 16:07:11.897273
464,464,paypal,success,11212.94,2026-04-14 00:04:17.914463
465,465,paypal,failed,5777.57,2026-07-16 00:25:52.957979
466,466,bank_transfer,success,3732.15,2026-06-23 07:01:17.824981
467,467,bank_transfer,success,54.45,2026-02-15 03:38:43.514695
468,468,paypal,success,10915.42,2026-07-25 08:27:28.535418
469,469,paypal,failed,5714.83,2026-03-12 14:11:30.943842
470,470,cash,success,2813.86,2026-01-08 13:29:47.611566
471,471,cash,refunded,4157.54,2026-08-05 14:11:20.370379
472,472,paypal,failed,1553.96,2026-05-11 08:15:32.879603
473,473,cash,success,13556.6,
474,474,cash,failed,3127.31,2026-03-29 00:57:25.713938
475,475,paypal,refunded,12661.58,2026-07-23 06:43:28.002715
476,476,card,failed,5473.68,2026-06-03 17:27:48.226935
477,477,bank_transfer,refunded,13068.2,2026-06-26 11:22:40.662233
478,478,cash,success,1484.38,2026-04-04 13:54:12.045424
479,479,bank_transfer,refunded,16790.25,
480,480,card,failed,2377.06,2025-08-23 23:54:26.465254
